Character name,"Character race (human, orc, halfling, etc)","Character class (wizard, bard, cleric, etc)"
Glorius victor,Human ,Fighter
Glorius victor,Human ,Fighter
Burdock Brightbeard,dwarf,kinetics engineer 
soul,human,ranger
Daywin,dwarf,fighter
Tonythrel Starkstone,Dwarf,Ranger
Tannith Queensrider,half-elf,sorceress
Zohara Khetala,human,cleric
Marlena Barath,Human,Artificer
Haplo,Human,Shifter Druid
Corsaire Solarion,half-elf,cleric
Braxton,Dwarf,Paladin
Lilah,Half-Elf,Rogue
Saedia,Human,Duskblade
Haruna,half-elf,bard
Ilvaria,Dragonblood Human,Favored Soul
Ayla,gnome,druid
Cirrina,Sea Elf,Favored Soul
Stumpy McBoot,Dwarf,Fighter
Melena Belden,Half-orc,ranger
Suzama Shumera,human,sorceress
Brangwen Redwall,human,paladin
Felicia,catfolk,ranger
Paewyn Tumblebelly,Halfling,Cleric
Markous Odronato,human,bard
Magoriam Malfoy,tiefling,cleric
Morrigan Malfoy,tiefling,sorceress
Sayyadina Drake,aasimar,cleric
Bartholomew Chadleigh Lockridge-Edinbrandt IV (Chad),Human,Bard
Sayyadina Drake,aasimar,barfd
Elron,Elf,Wizard
Irogkax,Dragonborn,Fighter
Rowan Targaryen,half-drow,paladin
Persephone Voralius,human,cleric
Crispos,human,cleric
Alfred Cartwright,human,paladin
Jesper Queensrider,half-elf,cleric
Heather Talpin,Half-elf,sorceress
Symphonia Alaine Cappella,half-elf,sorceress
Borgus Loderr,Dwarf,Paladin
Sebastian de Fleury,Human,Arcanist
Lucille De Rolo,Genasi,Cleric
Morden,Dwarf,Cleric
Berthon,Human,Fighter
Augustus Sharon,Half-Elf,Wizard
Diana Hallwinter,Human,Druid
Marvin Marivaldi,Human,Bard
Aleyn Sendivogious Utheckiut Khran,Gnome,Sorcerer 
Asa Swarf,Human,Ranger 
Tal,human,druid
Diama,human,paladin
Ezemerelda,elf,wizard
Vanis TAL Towran,Human ,Fighter 
Yargh,Half-orc,Ranger
Earl Moribund,Human,Paladin
Cobalt Meridian,Half-elf,Rogue
Brutus Applewyz the courter son of Lanner the tall,Gnome,Bard
Vormeas Flaskjaw,Dwarf,Brawler
Mestus,Human,Necromancer
Booger,Goblin,Bard
Caelynn Siannodel,Elf,Druid
Pleasant-Odor-Of-The-Earth-After-The-Rain,Goblin,Cleric
Sutha,Half-orc,Barbarian
Marcus Reynard,Half-Orc,Sorcerer
Catriona the Robust of the Wildheart Clan,Dwarf,Barbarian
Nowhere,Tiefling,Sorcerer
Gloth Brightscale,Dragonborn,Rogue
Drakkar Heartgouger,Pixie,Paladin/barbarian
Tenebrae,Sprite,Rogue
Estar of the Swamp,Half Elf,Rogue
Agna Ironoak,Dwarf,Druid
Erica,Halfling,Bard/rogue
Dormgall the Deft,Dwarf,Barbarian
Esmeralda Underbough,Halfling,Ranger/druid
Spectrum,Human,Illusionist
Olgrun Granitefist,Dwarf,Monk
Leighlah Goodbottom,Elf,Fighter 
Eldon Turen,Gnome,Wizard
Pia Bloobledoop,Gnome,Paladin
Lyle Halfhill,Halfling ,Bard 
Mera ,Fire Genasi,Wizard 
Portia Hilltopple,Halfling,Cleric
Nosterd,Elf,Paladin/ranger/druid
Alara Amakiir,Elf,Druid
Erevan Nailo,Elf,Wizard
Thyme,Aarakocra,Fighter/ranger/mystic
Shava Nailo ,Elf,Cleric 
Vyxia Keldarin,Half-elf,Cleric
Orsik Thunderhammer,Dwarf,Cleric
Ohaiyo,Half-elf,Rogue
Tehir al'Kyra al'Parishat Vinyáya al'Katheer,Tiefling,Swashbuckler
Kazuma,Human,Monk
Yarp ,Goblin,Barbarian
Sassie Gomp,Gnome,Sorcerer
Stanis Dundragon,Human,Fighter
Lysantir,Elf,Wizard
Caldwell A Friedricksen,Human,Cleric
August Redgrave,Human,Fighter
Gem ot Codrin,Shadar-kai,Rogue
Dagga Bronzepot,Dwarf,Barbarian 
Elrohir Valandil,Elf,Ranger
Kriv,Dragonborn,Paladin
Bruce,Minotaur,Barbarian
Harmony,Tiefling,Bard
Daydra,human,sorceror
"Waywocket ""Oneshoe"" Timbers",Halfling,Wizard
Praer Incatum,High Elf,Druid
Tawni Oldfur,Halfling,Druid
Konr Rache,Human,Warlock
Nymeria Rex,Tiefling,Sorcerer
Mikol Surefoot,Halfling,Monk
Dutch Yardeen,Human,Fighter
Olek Frondtoe,Half-elf,Rogue
Phyieros Beni Moloch ,Tiefling ,Warlock
Diesa Torunn,Dwarf,Paladin
Wen,Human,Warlock
Namfoodle Spuzzem,Gnome ,Cleric
Falkstrum Grimsfottir,Human,Rogue
Friar Donnelly,human,cleric
Jon39,Human,Wizard
Alisdair Isambard Whateley,half-elf,warlock
Dirk Fancyman,human,fighter
Temrik the Gorf,lizardfolk,monk
Ratshagger,dwarf,ranger
Grognak,Half-orc,Barbarian 
Braithos Lightbringer,Aasimar,Cleric
Valen von Valastyr,human,magus
Chakai,Half-Elf,Sorcerer 
Zayne,halfelf,rogue
Wenvar Axebiter,dwarf,fighter
Etienne du Lac,human,rogue
Alynn von Rotfeldenstein,human,cleric
"Akila ""Rope"" Akram",human,fighter
Kennit Saleyles,human,gunslinger
Isirah Starleaf,elf,druid
Fhy Askelion,halfelf,ranger
Gareth Eisenfeld,human,fighter
Dasterdius,Dragonborn,Bard
Hannah Markov,human,warpriest
Beliar the Benevolent,Tiefling,Druid
Beatrix Steinfeld,human,alchemist
Kassian Vikander,human,chevalier
Erik Stoutbeard,Dwarf,Archer
"Szalazar ""The Snowfox"" Satoril",human,ranger
Burdy Sharpgem,Gnome,Rogue
Burdy Sharpgem,Gnome,Rogue
Sir Rand Tallstag ,Human,Cleric
"Tres ""Three Hands"" Apkarian",human,fighter
Altia Hemwick,Elf,Wizard
Torn,halfelf,scout
Relas Porcellus,human,wizard
Master Pavel Mycelius,human,cleric/druid
Wynk Willowynd,Wood Elf,Cleric 
Vincent Wilde,genasi,sorcerer
Talath Hohenforst,human,fighter
Bracus Garcon,human,sorcerer
Colden Highnoon,aasimar,vampire hunter
Iven Harlock,human,pirate
Andro Zavic,human,infiltrator
"Valeria, Voice of Light",celestial,cleric
Helena of House Tienn,human,Tactician
Dimble,Gnome,Wizard
Adele Hyde,human,rogue
Cade Winterhill,Halfling,Ranger
Edmund Heartsworth,Human,Sorcerer
Zair Vesdyn,human,necromancer
Elyas Crane,Human,Fighter
Tyrin,Half-elf,Bard
Thorgrok Anklebiter,Halfling,Barbarian
Smynogg,smoke mephit,wizard
Harding Verner,Dwarf,Monk
Morrigan Graves,Human,Fighter
Revas Eisenfeld,human,chevalier
Talib,Half-ling,Druid
Thorgrim Elfbreaker,Dwarf,Ranger
Marek Narskjald,human,bard
Khorr Saltbeard,Dwarf,Barbarian
Sigrid Unhild,human,barbarian
Ragnar Taurantor,Human,Fighter
Daikon Konyakku,Kitsune,Rogue
Undula Floodcaller,human,cleric
Martlin Spindlesizzle ,Gnome,Wizard
Ramira Zin,undine,druid
Garn Forgeheart,Dwarf,Paladin
Grimm Warzkar,Half-Orc,Fighter
Skog,Half Orc,Summoner
Ruben,tiefling,sorcerer
Melchior Asmodai Gareth Isaac van Chadarov,Human,Wizard
Qoth,Kenku,Fighter
Chunking,Elf,Rogue
Anatole Karet,human,artificer
Morwyr Moreksson,Dwarf,Paladin
Artjom of the Redwater,halforc,tracker
Iskra Nin Vershinin,human,rough rider
Kosstyn Blatov,human,guard
Sage Skullsplitter,Half-Orc,Barbarian
Lev Anosov,human,slayer
Delphinia Whitemoon,Genasi,Sorcerer
Macovai Lamar,human,swashbuckler
Eldon Platsketch,Gnome,Wizard
Ulyanna Schwarzeiche,halforc,fighter
Sunlight Through the Window,Tabaxi,Monk
Zoyann Merlenpflug,human,fighter/scholar
Cantor Cakewalk,Warforged,Bard
Korum,halforc,fighter
Alexej Sinreth,halfelf,brawler
Willow Thornwind,Halfling,Monk
Wheeler Sondheim,Half-Elf,Bard
Argyr Stonehelm,Dragonborn,Fighter
Goddard Ogrekin,Human,Fighter
Rohl,Kobold,Ranger
Selver Longbone,Elf,Ranger
Kosyan,Goblin,Star-Pact Warlock
Starra,Half-Elf,Druid
Sable Darkhstarr,Human,Cleric
Mork,Half-Orc,Chaos Chosen
Fox Darkhstarr,Human,Paladin
Tinuviel Rosenbloom,Half-elf,Magic-user
Aecor Virens,Wood elf,Monk
Shaelif,Half-elf,Ranger
Boris,Dwarf,Fighter
Jethro ,Halfling,Rogue
Taklinn ,Dwarf,Cleric
Mako,Half Orc,Barbarian
Daviken,Half-orc,Barbarian
Har-dan,Dwarf,Zen Archer monk
Seev,Sylph,Magus
Dave,Human,Warpriest
Thiviel Everyoung,Elf,Wizard
Sagwell Silkfingers,Human,Bard
Ink,Gnome,Druid
Calvus,Aasimar,Warlock
Arilaire Salastra,Elf,Sorcerer-Rogue
Drew,Human,Teacher
Thia Galanodel,Elf,Cleric
Nerium Oleander,Halfling,Rogue
Baal,Human,Magus
Thora Ironbeam,Dwarf,Wizard
Lanceor,Elf,Cavalier
Meredith Burrows,Halfling,Bard
Campion,Human,Fighter
Luma Ironscale,Dragonborn,Fighter
Hannah,Aasimar,Paladin
Azril,Human,Cleric
Saruta,Human,Sorcerer
"Raas ""Steelheart"" e Dal",Whisper Gnome,Swashbuckler
Karagnir Ro'Maeve,Dragonborn,Paladin
Azyrian Fleetnote,Human,Wizard
Illy Frond,Drow,Sorcerer
William Fayne,Human,Psion
Elandis Feathermane,Wood Elf,Druid
Quolorian Silvermane,High Elf,Warlock
Frelli Griddeon,Gnome,Artificer
Grimgor Ironhand,Orc,Warlord
Karras Ruknarin,Dwarf,Barbarian
S'vildri,Gnome,Fighter
Fidan Konul ,Human,Cleric
Rookinirook ,Kobold,Sorcerer 
Hover,Half-orc,Sorcerer
Sir Martin Walden ,Human,Fighter
Jyodmar Leatherbeard,Dwarf,Paladin
Jamry the Tuskless,Half-Orc,Ranger 
Papoy Whirlybits,Gnome,Bard
Nianya Atella,Half-Elf,Rogue
Hanz Wrukag,Half-orc,Barbarian
Lolin Tarnruth,Drow,Barbarian
Brottor Thunderschild ,Dwarf,Barbarian
Dakhm Firestoker,Dwarf,Fighter
Taeleraed,Elf,Bard
Juniper Limbertwig,Human,Oracle
Hysilvinia Lithibel,Half elf,Druid 
Haru Haruna,Human with air elemental heritage,Arcane Archer
Elvara,Elf,Bard
Sara Leagallos,Halfling,Rogue
Kor'Valisa Sturmdoter,Half-fey Human,Wizard
Elyel,Elf,Druid
Beatrie irekai ,Human,Ranger
Shalatikra Shan'doblore,Eladrin,Rogue
Chog,Half-orc,Barbarian
Randall Vitt,Human,Rogue
Eskel Starag,Human,Wizard
Edriar Plum,Human,Wizard
Delight,Tiefling,Bard
Thava,dragonborn,paladin
Magstein,dwarf,cleric
Betsy,hafling,rogue
Archibald Primrose von Neumann,Human,Ranger
Pantera,dark elf,wizard
Trexler Mordauk,Drow Elf,Wizard
Tabarian,Human,Cleric
Gnorgo Springkettle,Drow,Monk
Thorn,Wood Elf,Monk
Eisen Feywars,Human,Paladin
Windrow,Wood Elf,Monk
Hamish,Human,Bard
Brogsworth,Half orc,Bard
Kildare of Dundalk,elf,ranger
Rilla Viggarsdottir,human,barbarian
Anthony Vega,human,fighter
Will Turner,human,artificer
Rothgar the Shade,drow,rogue
Jimmy Fiddle,Human,Paladin
Trytton,Gillman,Kineticist
Jessica the cabin girl,Kitsune,Sorcerer
Tink,Ratfolk,Wizard
Tink,Ratfolk,Wizard
SteelGate,Inevitable,Eidolon
Travius Nostrim,Gray elf,Fighter / magic-user
Harrold Bashforth,Human,Alchemist
Harrold Bashforth,Human,Alchemist
Father Vauran Grimburrow,Human,Cleric
Boreal Typhon,Dwarf,Fighter
Romaine Estefany,Human,Warlock
Reveka,Dwarf,Warlock
Valeera Ousstyl,Drow,Bard
Foron Bronzebeard,Dwarf,Fighter
Doorknob Nimblefingers,Halfling,Thief
Ander,Human,Fighter
Titus Thrasherbane,Half Giant,Barbarian 
Hector Anduin,Human,Paladin
Ismark Kolyanovich,Human,"Fighter, Paladin"
Muzack,Tiefling,Bard
Amaryn,Tifeling,Warrior Priestess
Irgo,Elf,Warrior Mage
Phaedra,Human,Bard
Genevieve Bronwyn,Elf,Rogue 
Malthael,Teifling,Rogue
Degius Kureor,Human,Rogue
Melisandre,Tifeling,Priestess 
Aturin Ervashic,Dragonborn,Fighter
Vanda,Tifeling,Priestess
Navarra,Human,Warrior Priestess
Goregrak,Half-Orc,Barbarian
Divarius,Elf,Ranger
Liendra,Human,Warrior
Ash,Human,Warrior
Tai' Lun,Lizardfolk,Ranger
James Blackstone,Tabaxi,Gunslinger
Alvarayne,Abberation,Psion
Ruljula the Firebrand,Human,Battledancer
Keith,Wolfman,Barbarian
Blue,Warforged,Warblade
Becky Darwin,Half-fey Human,Fighter
Peplum,Halfling,Ranger
Chachula Isenlac,Human,Spellcaster
Del Baccarin,Dwarf,Wizard
Jortix Fizzleflash,Gnome ,Wizard 
Shagol,T,Barbarian
Mal,Satyr,Fighter
Andalus,Skeleton,Warlock
Bel'lach the Pirate King,Dragonborn,Eldritch Knight
Tallis,Warforged,Soulknife
Bathia DuMaern,Human,Bard
Panamon Creel,Human,Fighter
Grandpa Hnalrok,Dark elf,Assassin
Shagol T.,Half-orc,Barbarian
Vicious Rose,Human,Druid
Father Duncan,Firbolg,Warden
Sergor Half-Cock,Human,Fighter
Cacelimon,High elf,Wizard
Elandyr Illianesti,Elf,Ranger
Lives-Under-Papers,Argonian,Wizard
Reiyn,Kenku,Rogue
Black Ice,Phrygisian,Assassin
Abbadon,Dwarf,Fighter
Eagle,Elf,Druid
Chaste Hardwick,Human,Wizard
Udak the Unclean,Orc,Monk
Koza,Snake,Monk
Ickthss,Mind Flayer,Paladin
Lithil D'Cyre,Shadow Human,Rogue
Sherrad,Whisper Gnome,Rogue
Daktaklakpak The Caller,Kobold,Wizard
Xaragarr,Orc / Ogre,Wizard
Omnomog Baeyog,Hobgoblin,Fighter
Sammarin Liadon,Woodelf,Rogue
Redd,Naga,Fighter
Gnash,Half-Orc,Paladin
Sipdrip the Knight of Ball Bearings,Half elf,Paladin
Scooter,Kobold,Technomancer
Abomentolor Goblinburner,Gnome,Sorcerer
Avarice,Tiefling,Warlock
Raharu,Drow,Ninja
Honeycrisp,Sprite,Crusader
Darba Kreshka,Draconic Jungle Orc,Ranger
Zamil,Moth,Swashbuckler
Brutus Tenheads,Bugbear,Barbarian
Ludner the Liar aka Samiel the Black Huntsman,Tiefling,Warlock
Layla Underbough,Halfling,Radiant Servant of Pelor
Rudy,Neekra,Barbarian
King-thief Dougal,Halfling,Thief
Tzadkiel,Aasimar,Psychic Warrior
Xaitial,Valenar Elf,Dervish
Lele,Halfling,Beastmaster
Koats,Half-Elf,Paladin
Sparse,Robot,Nothing
Salingi,Catfolk,Druid
Shalltear Donnodel,Drow,Wizard
Serena Enkus Heterodyne,Breton,Technomancer
Aric,Construct,Druid
Boghat,Half orc,Barbarian
Doris Szabo,Human,Paladin
Kalice,Half-Orc,Fighter
Achiel Drakestar,Dragonelf,Swashbuckler
CG-01,Construct,Barbarian/Bard
Mardak Conbane Bearcharger III ,Half elf,Bard
Sherbet Pakak,Hengeyokai,Healer
Gura-Gar,Hobgoblin,Paladin
Duvain Aerethian,Elf,Mystic Ranger
Mr. Willoughsbee,Draconic Aasimar,Marshal
Mozz Fett,Human,Mage
Glitch,Halfling,Thief
Tansy,Woodsfolk,Sorcerer
Maximus Pegasus,Human,Fighter
Miaki,Human,Paladin
Belmont,Half-orc,Ranger
Skazzyg,Tiefling,Wizard
Toby,Human,Horselord
Julia,Human,Rogue
Julia Asworth,Human,Rogue
Wuhlap,Half-Orc,Rogue
June Shrenan,Gnome,Barbarian
Mekoti,Kobold,Shaper
Iskali,Kobold,Bard
Lenah,Half-elf,Gleaner
Arau,Gnoll,Druid
Yelena Ward,human,rogue
Lugh Anarian,half-elf,paladin
Noru,Human,Psychic Warrior
Clary Jann,half-elf,rogue
Zain,Maenad,Shugenja
Eric,Maenad,Ardent
Lin,Human,Shugenja
Kim,Human,Bard
Talia,Human,Wizard
Josa,Half-orc,Barbarian
Chloe,dragonborn,bard
Destiel,Wood elf,Cleric
Malika,human,cleric
Serra,human,cleric
Erica,human,rogue
Elion,Halfling,Ranger
Magmel Morrigan,Human,Monk
Mithas Soulspark,Half-dwarf,Arcane Smith
Avery Kevaalvata,half-elf,warlock
Neem,Dragonborn,Paladin
The Deft,tiefling,sorcerer
John Cena,human,barbarian
Alliana,Human,Ozadrin
Russell Viridia,Human,Fighter
Ciedas,Vampire,Psion
Damien,Orc,Snowboarder
Maevra Siannodel,Wood Elf,Druid
Eleka Thatcher,Human,Soul Hunter
Harumi,Kiitsune,Enigmist
Efleric Niegama Dunt Sartel Ek Vurall,Jackal,Druid
Jaina,Kenku,Artificer
Nyphera,Fox,Chozo Warrior
Xerxes,Warforged,Artificer
Orange,Warforged,Artificer
Varis Woodrunner,Elf,Druid
Zyraxas,Valkyrie,Swordsage
Gorwyn,Orc/human/gnome,Sorcerer 
Ruala ,Human ,Thief 
Vaughn,Human,Gunslinger
Xellos ,Human,Wizard
Feyst,Treant,Fighter
T'kara,Aarakocra,Monk
Matani,Neekra,Bard
Kaerenna Laraly Arcaline Raulnor,Gnome,Ranger
Akari,Human,Jedi Warrior
Mistral,Genasi,Bard
Crimson Knyves,Halfling,Rogue
Flicker,Fire Mephit,Master Professional
Jenaerys,Half-elf,Bard
Serilaz,Naga,Fighter
"Daphiroe Rosidysa Tawyn """"Gravewalker"" Folxis				",Gnome,Wizard
Adolf Hitler,Human,Paladin
Thaela,Human,Fire Elementalist
Dace,Human,Rouge
Nala,Elf,Necromancer
Ryda Morley,Human,Bard
Savahna,Kyton,Monk
Garineth Daymoore,Half-orc,Ranger
Bruce,Human,Fighter
Variance Lorkep,tiefling,warlock
Brad Godwarden,Human,Cleric
Zephyr,Gray Elf,Factotum
Thorbald,Dwarf,Cleric
Krush Huda,Half-orc,Barbarian
Eowyn Sparklesong,Gnome ,Bard
Liam Deliowyn,Human,Cleric
Fulkuall,Drow,Rogue
Shandrai,Halfling,Paladin
Alitranna Lorearthen,Dwarf,Ranger
Elwyn Tallheart,Wood Elf,Druid
Daegarth Ungart,Mountain Dwarf,Fighter
Agilao,Dragonborn,Monk
Kenus Deliowyn,Human,Paladin
Eoworfiviel Thiariand,High Elf,Ranger
Jillian,Halfling,Rogue
Belithrathien,Half-elf,Sorcerer
Revelation,Tiefling,Sorcerer
Revelation,Tiefling,Warlock
Cassius Creed,Half-elf,Wizard
Rory Karskys Carihem,Skinwalker,Slayer
Calin Malisto,Drow,Bard
Ariadrin Taliar,Grey Elf,Wizard
Ticon Selwyn,Half Elf,Bard
Daxious Greshaw,Dragonborn,Cleric
Vanni Calaverga,Half Elf,Sorcerer 
Rechra Gantallug,Dwarf,Wizard
Cilantro Fellflower,high elf,druid
Aramis Cyfarthfa,Elf,Wizard
Pamplemousse LaCroix,half elf,wizard
Gaffy Fumblebottom,Halfling,Paladin
Chirk Conwy,Human,Artificer
Carly Rae Flexin',human,fighter
Milo,Halfling,Wizard
"""Chubbins""",halfling,cleric
Leonie,Human,Incanter
Felix Colgrave,human,rogue
Raughb son of ragnor,Human,Fighter
Klatch,Orc,Paladin
Lady Kara,Variant human,Wild magic surge sorcerer
Galainn,Human,Sorcerer
Will o' Wisp,Tabaxi,Monk
Reilitha,High elf,Bard
Morikar Hravdeg,Dragonborn (Gold),Fighter
Stairre,Tabaxi,Wizard
Suthik,Half-orc,Druid
Rigel,Teifling,Warlock
Liessa,Human,Wizard
Kethra,Human,Paladin
Lucius Morthal,Tiefling,Paladin
Rose Daleg,Human,Scout
Preyah Pathfinder,Golaith,Paladin
Krinn,Dragonborn,Paladin
Cairlton Wyndhaven,Elf,Warrior wizard
Yondrikki,Dragon born,Bard
Syphilis Fartmonger,Drow elf,Bard
Lorrymar Lothlogan Callahan,Human,Paladin
Eirwynn Pipsripple,Halfling,Paladin
Boda,Human,Barbarian
Gritha,Gnoll,Bard
Lene,Half-Elf,Bard
Rozmar Imhal,Triton,Bard
Xelys,Half-elf,Paladin
Serena,Triton,Bard
Tim,Orc,Bard
Asavost,Aasimar,Cleric
Tim,Halfling,Rogue
Ciane,Half-Orc,Cleric
Ochnuin,Lizardman,Cleric
Berut Burrowsaph,Dwarf,Druid
Comi,Elf,Druid
Nimrielye,Half-Elf,Druid
Kynan Kerovalr,Elf,Rogue
Sigmund Rat,Human,Fighter
Essath,Orc,Druid
Ghanna,Tiefling,Druid
Urin,Dragonborn,Fighter
Breca,Dwarf,Fighter
Khatur,Gnome,Fighter
Marl Gothin,Gnome,Fighter
Gidion,Half-Orc,Fighter
Ian Hopper,Half Elf,Bard
Cune,Half-Orc,Fighter
Dauthr Lif,Grey Elf,Athasian Bard
Orba Saivyc,Half-Orc,Fighter
Tobias Gast,Human,Cleric
Grodol Zylet,Half-Orc,Fighter
Magthyra,Half-Orc,Fighter
Badima,Half-Orc,Fighter
Kathel Hawk,Orc,Fighter
Gega Sorkid,Orc,Fighter
Golorb Saivyc,Orc,Fighter
Arturia,Half-Elf,Druid
Thilemmaht,Elf,Monk
Alitranna Dark-Eyes,Half-Elf,Paladin
Narder Tere,Half-Orc,Paladin
Alazar Asgoth,Grey Elf,Bladesinger
Pak Sandoria,Human,Paladin
Breli,Triton,Paladin
Ovain,Dwarf,Priest of Thoth
Erdan the Wanderer,half wood elf,ranger
Fineli,Elf,Paladin
Shalib Azzon,Half-Orc,Ranger
Agra,Half-Orc,Ranger
Crusade,Warforged,Paladin
Requiem,Tiefling,Bard
Gabe,Human,Ranger
Piersy Azzon,Human,Ranger
Blue,Goblin,Soul Knife
Rancent,Orc,Ranger
Almiro Anuell,Triton,Ranger
Alekzandor Sati,Aasimar,Bard
Gana,Elf,Rogue
Bleeby Beanbow,Gnome,Druid
Gauwilh Ferray,Gnome,Rogue
kilcannon May,Human,Ranger
Cuna,Gnome,Rogue
Cyd,Half-Orc,Rogue
Yvelda skosgrak,Half orc,Barbarian
Cogi,Half-Orc,Rogue
Nanami,Human,Rogue
Valeria Callahan,Human,Rogue
Drinea,kobold,rogue
Tzelph,Elf,Ranger
Thelmyr Theyrilaxe,Dwarf,Wizard
Skaamos,Dwarf,Runepriest
Dorauk Theyrilaxe,Dwarf,Cleric
Makoa,Orc,Barbarian
Hrungar Theyrilaxe,Half-elf,Alchemist
Veilos,Elf,Earth Elementalist
Dorick Theyrilaxe,Dwarf,Alchemist
Taako,high-elf,wizard
Magnus Burnsides,human,fighter
Titus Hastaquatus,Human,Rogue
Thrive,Tiefling,Ranger
Merle Hightower Highchurch,beach dwarf,cleric
Blueno Flint,Dwarf,Monk
Zakarath Domine,Dragonborn,Barbarian
Thanakok Murlyk,Half-orc,Paladin
John Ervine,Ifrit,Sorcerer
Barnaby Always Underfoot,Halfling,Rogue 
John Miller,Human,Warlock
Kamori,human,mage
Deri,gnome,warlock
Arixar,Human,Death Knight
Akron,Aasimar,Monk
Gore Warforged,Minotaur,Fighter
Carn Balefire,Human,Necromancer
Milba Ferby,Tiefling,Witch
Aki'apola'au,Aarokocra,Bard
Gimble Shimmerdale,Rock Gnome,Rogue
Gantha the Graverobber,Human,Cleric
Krager Wiseman,Human,Ranger (priest)
Orelon,Elf,Rogue
Tom Coolstream,Firbolg,Druid
Bollok,Halfling,Barbarian
Kain,Dwarf,Ranger
Robinton Shadicar,Human,Bard
Moss Luskan,Human,Fighter
Veradis Royce,Half Elf,Ranger
Lizardborn,lizardfolk,bard
Eirnin Copenfure,Dwarf,Bard
Hagrid The Mad,Half Illithid,Wizard
Dahz titancut,Human,Cleric
Myrdia (Meraude) Barrit'tar,Drow,Ranger
Timber Greyvanth,Half-elf,Thief Fighter 
Mirabelle Enomoto-Volk,Human,Hunter
Lord Dolphin Bellerophon Pendragon,Half-Elf,Ranger
Amelia Regelia,Human,Alchemist
Cobalt,Human,Wizard
Samir Najmah,Half-orc,Monk
Euterpe (Yuta) Gale,Human,Cleric
Dzavor,Wood elf,Druid
Antoinette Durante,Human,Paladin
Nynth,Drow,Trickster rogue
Jaxim Fandarel,Half Elf,Fighter/Ranger
Elric Tingleteet,Lightfoot Halfling,Bard
Ghyr,Half-elf,Monk
Hope Lutreze,Human,Inquisitor
Robinton,Half Elf,Rogue/Bard
Nathri Ithilhin,Half-Elf,Bard
Rowan Windsailor,Human,Rogue
Monk ,Dwarf,Monk
Beeker,Ratfolk,Investigator
Will Treaty,Human ,Rogue
Aramance,dwarf,warrior
Tavis,human,rogue
Corrin Greenbottle,Halfling,Cleric
Tinarto Andurian,Human,Cleric
Fug,half-orc,rogue
Thunderwolf,Half-Elf,Paladin
Kieran Broadoak,halfling,druid
Nox,dragonborn,rogue
Zarra Vovin,drow,sorcerer
Khord,Half-Elf,Bard
Little Brother Barthalos,gnome,cleric
Ignacio Bethe,Elf,Wizard
Friedrich Faust,Tiefling,Bard
Tali,half-elf,ranger
Ozmodius,Half-Elf,Wizard
Titsoor J'Teiffo,elf,ranger
Lander Stormwind,human,fighter
Euphony,Tiefling,bard
Chantastadar,human,fighter
Ben Lunesta,human,cleric
Van Zandt,half-elf,warlock
Zappa,dwarf,wizard
Merjana Witchbrood,half-elf,magus
Phebbernath Ambitio of Trang,gremlin,paladin
Fnipper Caramip,gnome,rogue
Frondiflora Truesknight,halfling,ranger
Taranath,goblin,sorceror
Feather in the Wind,Tabaxi,Wizard
Aramril,elf,ranger
LeGenius Intelligence Pantastico,Gnome,Wizard
Zin Siannodel,Elf,Warlock
Orrin Alemane,Dwarf,Cleric
Syleel Kai,Wood Elf,Rogue
Bek Bek,Drow,Ranger
Smash Larson,Orc,Barbarian
Maedree Greenarrow,Halfling,Ranget
Yaashim,Aarakocra,Rogue
Valera Stalkingwolf,Wood Elf,Druid
Molly Wodeward,Human,Fighter
Luisa Tallstag,Human,Fighter
Oppie,Gnome,Wizard
Wyth,Dwarf,Rogue
Nicola Shosmyth,Human,Ranger
Sora ,Genasi ,Rouge
Solak ,Half-Orc ,Cleric
Tekra,Aarakocra,Ranger
Auleia,Tiefling,Paladin
Mags,Genasi ,Fighter
Tyrrelle,Tiefling,Ranger
Perrin Goodbarrel,Halfling,Sorcerer
Philbip Wigglebottom,Gnome,Wizard
Ealle,Dwarf,Antipaladin
Gimble Zookist,Gnome,Sorcerer
Sin,Genasi,Sorcerer 
Eyes in the Cave,Tabaxi ,Fighter
Durzil,Dwarf,Barbarian
Durzil,Dwarf,Barbarian
Emerald Tackett-Ray,halfling,wizard
Drax,Dragonborn,Rogue
Nelaeryn Starwhisper,High Elf,Wizard
Kayla,Human,Monk
Faye,halfling,rogue
Maedhra,Dark elf,Druid
Merrik Hilltopple,Halfling,Paladin
Nimue,Tiefling,Cleric
Geon von Brawn,Golem,Barbarian
Greignar Leifsten,Dwarf,Paladin
Nels Grackle,Gnome,Ranger
Nels Grackle,Gnome,Ranger
Sassafras Whittle,Birdfolk,Bard
Zahav,Woven People,Vigilante
Shallows Hipohis Burrow,Lizardfolk,Barbarian
Mikado,Samsaran,Paladin
Xin,halfling,rogue
Giovanni ,Human,Rogue
Avner Garess,Half-orc,Cleric
Lena Kuklev,Sylph,Wizard
Sonja,Human,Cleric
Gicrahk,Ratfolk,Gunslinger
Samia,Elf,Wizard
Chisai Baka,Halfling,Monk
Drasathron Galonvir,Elf,Warpriest
Kent Allard,Human,Fighter
Zahar,Elf,Artificer
Foof Street Turner,Human,Healer
Lorgar Aurelian,Human,Paladin
Ikarus,Elam,Fighter / Thief
Eliannil,Elf,Ranger
Sir Kilroy the Unlikely,Goblin,Knight
Roy!,Half-orc,Rogue
Barrywick Swizzle,Gnome,Rogue
Angron,Human,Barbarian
